N_Dirichlet_DoF  300
point number / fixed direction / type of displacement / surface
    950  0   0     3146
    950  1   0     3146
    950  2   0     3146
    960  0   0     3177
    960  1   0     3177
    960  2   0     3177
    970  0   0     3208
    970  1   0     3208
    970  2   0     3208
    980  0   0     3239
    980  1   0     3239
    980  2   0     3239
    990  0   0     3270
    990  1   0     3270
    990  2   0     3270
