N_internal_boundary  2700
main point / neighbor point / shared face
      0        1        0
      0       10        3
      0      100        5
      1        2        6
      1       11        8
      1      101       10
      2        3       11
      2       12       13
      2      102       15
      3        4       16
      3       13       18
      3      103       20
      4        5       21
      4       14       23
      4      104       25
      5        6       26
      5       15       28
      5      105       30
      6        7       31
      6       16       33
      6      106       35
      7        8       36
      7       17       38
      7      107       40
      8        9       41
      8       18       43
      8      108       45
      9       19       48
      9      109       50
     10       11       51
     10       20       53
     10      110       55
     11       12       56
     11       21       57
     11      111       59
     12       13       60
     12       22       61
     12      112       63
     13       14       64
     13       23       65
     13      113       67
     14       15       68
     14       24       69
     14      114       71
     15       16       72
     15       25       73
     15      115       75
     16       17       76
     16       26       77
     16      116       79
     17       18       80
     17       27       81
     17      117       83
     18       19       84
     18       28       85
     18      118       87
     19       29       89
     19      119       91
     20       21       92
     20       30       94
     20      120       96
     21       22       97
     21       31       98
     21      121      100
     22       23      101
     22       32      102
     22      122      104
     23       24      105
     23       33      106
     23      123      108
     24       25      109
     24       34      110
     24      124      112
     25       26      113
     25       35      114
     25      125      116
     26       27      117
     26       36      118
     26      126      120
     27       28      121
     27       37      122
     27      127      124
     28       29      125
     28       38      126
     28      128      128
     29       39      130
     29      129      132
     30       31      133
     30       40      135
     30      130      137
     31       32      138
     31       41      139
     31      131      141
     32       33      142
     32       42      143
     32      132      145
     33       34      146
     33       43      147
     33      133      149
     34       35      150
     34       44      151
     34      134      153
     35       36      154
     35       45      155
     35      135      157
     36       37      158
     36       46      159
     36      136      161
     37       38      162
     37       47      163
     37      137      165
     38       39      166
     38       48      167
     38      138      169
     39       49      171
     39      139      173
     40       41      174
     40       50      176
     40      140      178
     41       42      179
     41       51      180
     41      141      182
     42       43      183
     42       52      184
     42      142      186
     43       44      187
     43       53      188
     43      143      190
     44       45      191
     44       54      192
     44      144      194
     45       46      195
     45       55      196
     45      145      198
     46       47      199
     46       56      200
     46      146      202
     47       48      203
     47       57      204
     47      147      206
     48       49      207
     48       58      208
     48      148      210
     49       59      212
     49      149      214
     50       51      215
     50       60      217
     50      150      219
     51       52      220
     51       61      221
     51      151      223
     52       53      224
     52       62      225
     52      152      227
     53       54      228
     53       63      229
     53      153      231
     54       55      232
     54       64      233
     54      154      235
     55       56      236
     55       65      237
     55      155      239
     56       57      240
     56       66      241
     56      156      243
     57       58      244
     57       67      245
     57      157      247
     58       59      248
     58       68      249
     58      158      251
     59       69      253
     59      159      255
     60       61      256
     60       70      258
     60      160      260
     61       62      261
     61       71      262
     61      161      264
     62       63      265
     62       72      266
     62      162      268
     63       64      269
     63       73      270
     63      163      272
     64       65      273
     64       74      274
     64      164      276
     65       66      277
     65       75      278
     65      165      280
     66       67      281
     66       76      282
     66      166      284
     67       68      285
     67       77      286
     67      167      288
     68       69      289
     68       78      290
     68      168      292
     69       79      294
     69      169      296
     70       71      297
     70       80      299
     70      170      301
     71       72      302
     71       81      303
     71      171      305
     72       73      306
     72       82      307
     72      172      309
     73       74      310
     73       83      311
     73      173      313
     74       75      314
     74       84      315
     74      174      317
     75       76      318
     75       85      319
     75      175      321
     76       77      322
     76       86      323
     76      176      325
     77       78      326
     77       87      327
     77      177      329
     78       79      330
     78       88      331
     78      178      333
     79       89      335
     79      179      337
     80       81      338
     80       90      340
     80      180      342
     81       82      343
     81       91      344
     81      181      346
     82       83      347
     82       92      348
     82      182      350
     83       84      351
     83       93      352
     83      183      354
     84       85      355
     84       94      356
     84      184      358
     85       86      359
     85       95      360
     85      185      362
     86       87      363
     86       96      364
     86      186      366
     87       88      367
     87       97      368
     87      187      370
     88       89      371
     88       98      372
     88      188      374
     89       99      376
     89      189      378
     90       91      379
     90      190      383
     91       92      384
     91      191      387
     92       93      388
     92      192      391
     93       94      392
     93      193      395
     94       95      396
     94      194      399
     95       96      400
     95      195      403
     96       97      404
